"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"BKSC","Bank of South Carolina Corp.","12.74","56678998.74","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/bksc",
"BOTJ","Bank of the James Financial Group, Inc.","7.63","25581291.75","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/botj",
"BGSC","BGS Acquisition Corp.","10.01","19161652.51","n/a","n/a","Finance","Business Services","http://www.nasdaq.com/symbol/bgsc",
"BGSCU","BGS Acquisition Corp.","10.12","19372220.12","n/a","n/a","Finance","Business Services","http://www.nasdaq.com/symbol/bgscu",
"BGSCW","BGS Acquisition Corp.","0.29","0","n/a","n/a","Finance","Business Services","http://www.nasdaq.com/symbol/bgscw",
"BASI","Bioanalytical Systems, Inc.","1.59","12199650.24","n/a","1997","Health Care","Biotechnology: Commercial Physical & Biological Resarch","http://www.nasdaq.com/symbol/basi",
"BIOD","Biodel Inc.","4.23","60247750.41","n/a","2007","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/biod",
"BDSI","BioDelivery Sciences International, Inc.","4.54","172505935.08","n/a","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/bdsi",
"BIOF","BioFuel Energy Corp.","4.15","25890899.65","n/a","2007","Basic Industries","Major Chemicals","http://www.nasdaq.com/symbol/biof",
"BIOL","Biolase, Inc.","4.68","147791348.64","n/a","n/a","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/biol",
"BLRX","BioLineRx Ltd.","1.69","14600459.25","8639325","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/blrx",
"BDMS","Birner Dental Management Services, Inc.","18.5","34254563","n/a","1998","Health Care","Medical/Nursing Services","http://www.nasdaq.com/symbol/bdms",
"MNGL","Blue Wolf Mongolia Holdings Corp.","9.9301","99921631.25","n/a","n/a","Finance","Business Services","http://www.nasdaq.com/symbol/mngl",
"MNGLU","Blue Wolf Mongolia Holdings Corp.","10.1","0","n/a","n/a","Finance","Business Services","http://www.nasdaq.com/symbol/mnglu",
"MNGLW","Blue Wolf Mongolia Holdings Corp.","0.3","0","n/a","n/a","Finance","Business Services","http://www.nasdaq.com/symbol/mnglw",
"BNCN","BNC Bancorp","10.73","284041738.01","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/bncn",
"BNSO","Bonso Electronics International, Inc.","1.44","7555540.32","n/a","n/a","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/bnso",
"BLIN          ","Bridgeline Digital, Inc.","1.09","16712935.12","n/a","n/a","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/blin          ",
"BYFC","Broadway Financial Corporation","0.71","1361369.62","n/a","n/a","Finance","Savings Institutions","http://www.nasdaq.com/symbol/byfc",
"BWEN","Broadwind Energy, Inc.","4.9","70575469.3","n/a","n/a","Capital Goods","Metal Fabrications","http://www.nasdaq.com/symbol/bwen",
"BLMT","BSB Bancorp, Inc.","13.7","127671752.2","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/blmt",
"CLACU","Capitol Acquisition Corp. II","10.14","152100000","n/a","n/a","Finance","Business Services","http://www.nasdaq.com/symbol/clacu",
"CRME","Cardiome Pharma Corporation","2.04","25439489.52","n/a","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/crme",
"CART","Carolina Trust Bank","2.7","12512507.4","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/cart",
"CARV","Carver Bancorp, Inc.","4.92","18180974.4","n/a","n/a","Finance","Savings Institutions","http://www.nasdaq.com/symbol/carv",
"CACB","Cascade Bancorp","5.97","282385668.54","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/cacb",
"CPRX","Catalyst Pharmaceutical Partners, Inc.","0.92","38107032.04","n/a","2006","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/cprx",
"CTIC","Cell Therapeutics, Inc.","1.21","136287037.15","n/a","1997","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/ctic",
"CLSN","Celsion Corporation","1.76","90838707.52","n/a","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/clsn",
"CFBK","Central Federal Corporation","1.4001","22156176.471","n/a","n/a","Finance","Savings Institutions","http://www.nasdaq.com/symbol/cfbk",
"CVCY","Central Valley Community Bancorp","9.39","89778597.54","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/cvcy",
