"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"BAGL","Einstein Noah Restaurant Group, Inc.","14.05","243257541.2","n/a","1995","Consumer Services","Restaurants","http://www.nasdaq.com/symbol/bagl",
"LONG","eLong, Inc.","14.39","166053966.21","11539539","1987","Consumer Services","Transportation Services","http://www.nasdaq.com/symbol/long",
"EMKR","EMCORE Corporation","3.43","91627188.38","n/a","1997","Technology","Semiconductors","http://www.nasdaq.com/symbol/emkr",
"NYNY","Empire Resorts, Inc.","2.78","83813711.26","n/a","n/a","Consumer Services","Restaurants","http://www.nasdaq.com/symbol/nyny",
"ENPH","Enphase Energy, Inc.","7.79","324216902.12","n/a","n/a","Technology","Semiconductors","http://www.nasdaq.com/symbol/enph",
"EPZM","Epizyme, Inc.","n/a","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/epzm",
"EAC           ","Erickson Air-Crane Incorporated","24.89","242926698.68","n/a","2001","Capital Goods","Aerospace","http://www.nasdaq.com/symbol/eac           ",
"ESCA","Escalade, Incorporated","6.12","82340603.64","n/a","n/a","Consumer Non-Durables","Recreational Products/Toys","http://www.nasdaq.com/symbol/esca",
"EXA","Exa Corporation","8.6","114492599.8","n/a","n/a","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/exa",
"FWM","Fairway Group Holdings Corp.","22","908211216","n/a","n/a","Consumer Services","Food Chains","http://www.nasdaq.com/symbol/fwm",
"FALC","FalconStor Software, Inc.","1.38","66197643.66","n/a","n/a","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/falc",
"FARM","Farmer Brothers Company","14.49","238352617.44","n/a","n/a","Consumer Non-Durables","Packaged Foods","http://www.nasdaq.com/symbol/farm",
"FNHC","Federated National Holding Company","9.22","74562960.58","n/a","n/a","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/fnhc",
"ONEQ","Fidelity Nasdaq Composite Index Tracking Stock","137.9699","206954850","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/oneq",
"FBIZ","First Business Financial Services, Inc.","29.57","115877674.06","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/fbiz",
"FFBH","First Federal Bancshares of Arkansas, Inc.","9.77","194399581.31","n/a","n/a","Finance","Savings Institutions","http://www.nasdaq.com/symbol/ffbh",
"FFKY","First Financial Service Corporation","3.47","16621168.14","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/ffky",
