公司代码,公司简称,公司全称,英文名称,注册地址,A股代码,A股简称,A股上市日期,A股总股本,A股流通股本,B股代码,B股 简 称,B股上市日期,B股总股本,B股流通股本,地 区,省 份,城 市,所属行业,公司网址
300194,福安药业,重庆福安药业（集团）股份有限公司,"Chongqing fuan Pharmaceutical(Group) Co.,Ltd",重庆市长寿区化工园区内,300194,福安药业,2011-03-22,173420000,47949879,,,,0,0,西南,重庆,重庆市,C 制造业,www.fapharm.com
300195,长荣股份,天津长荣印刷设备股份有限公司,"MASTERWORK MACHINERY CO.,LTD",天津市新技术产业园区北辰科技工业园,300195,长荣股份,2011-03-29,142224000,35887250,,,,0,0,华北,天津,天津市,C 制造业,www.mkmchina.com
300196,长海股份,江苏长海复合材料股份有限公司,"Jiangsu Changhai Composite Materials CO.,LTD.",江苏省常州市武进区遥观镇塘桥村,300196,长海股份,2011-03-29,120000000,50793750,,,,0,0,华东,江苏,常州市,C 制造业,www.changhaigfrp.com
300197,铁汉生态,深圳市铁汉生态环境股份有限公司,"Shenzhen Techand Ecology & Environment Co., Ltd.",广东省深圳市龙岗区龙城街道龙岗天安数码创新园三号厂房B1401,300197,铁汉生态,2011-03-29,315805878,82453355,,,,0,0,华南,广东,深圳市,E 建筑业,www.sztechand.com
300198,纳川股份,福建纳川管材科技股份有限公司,"Fujian Superpipe Co.,Ltd",福建省泉州市泉港区普安工业区,300198,纳川股份,2011-04-07,208957500,129400464,,,,0,0,华东,福建,泉州市,C 制造业,www.superpipe.cn
300199,翰宇药业,深圳翰宇药业股份有限公司,"HYBIO PHARMACEUTICAL CO.,LTD.",广东省深圳市南山区高新技术工业园中区翰宇生物医药园办公大楼四层,300199,翰宇药业,2011-04-07,400000000,185149000,,,,0,0,华南,广东,深圳市,C 制造业,www.hybio.com.cn
300200,高盟新材,北京高盟新材料股份有限公司,"Beijing Comens New Materials Co.,Ltd.",北京市丰台区科学城航丰路8号2层209室（园区）,300200,高盟新材,2011-04-07,213600000,80284456,,,,0,0,华北,北京,北京市,C 制造业,www.co-mens.com
300201,海伦哲,徐州海伦哲专用车辆股份有限公司,"Xuzhou Handler Special Vehicle Co., Ltd.",江苏省徐州经济开发区螺山路19号,300201,海伦哲,2011-04-07,352000000,225485008,,,,0,0,华东,江苏,徐州市,C 制造业,www.xzhlz.com
300202,聚龙股份,辽宁聚龙金融设备股份有限公司,Liaoning Julong Financial Equipment Corp.,辽宁省鞍山市铁东区千山中路308号,300202,聚龙股份,2011-04-15,169600000,57600000,,,,0,0,东北,辽宁,鞍山市,C 制造业,www.julong.cc
300203,聚光科技,聚光科技（杭州）股份有限公司,"Focused Photonics （Hangzhou),Inc.",浙江省杭州市滨江区滨安路760号,300203,聚光科技,2011-04-15,445000000,88858299,,,,0,0,华东,浙江,杭州市,C 制造业,www.fpi-inc.com
300204,舒泰神,舒泰神(北京)生物制药股份有限公司,"Staidson (Beijing) Biopharmaceuticals Co.,Ltd.",北京市北京经济技术开发区荣京东街5号,300204,舒泰神,2011-04-15,133400000,37078774,,,,0,0,华北,北京,北京市,C 制造业,www.staidson.com
300205,天喻信息,武汉天喻信息产业股份有限公司,"Wuhan Tianyu Information Industry Co.,Ltd",湖北省武汉市东湖新技术开发区华工大学科技园,300205,天喻信息,2011-04-21,215028000,77856513,,,,0,0,华中,湖北,武汉市,C 制造业,www.whty.com.cn
300206,理邦仪器,深圳市理邦精密仪器股份有限公司,"Edan Instruments,Inc,",广东省深圳市南山区蛇口南海大道1019号南山医疗器械园B栋三楼,300206,理邦仪器,2011-04-21,130000000,54841843,,,,0,0,华南,广东,深圳市,C 制造业,www.edan.com.cn
300207,欣旺达,欣旺达电子股份有限公司,"Sunwoda Electronic Co.,Ltd",广东省深圳市宝安区石岩街道石龙社区颐和路2号综合楼2楼B区,300207,欣旺达,2011-04-21,244400000,75739853,,,,0,0,华南,广东,深圳市,C 制造业,www.sunwoda.com
300208,恒顺电气,青岛市恒顺电气股份有限公司,"Qingdao Evercontaining Electric Co.,Ltd.",山东省青岛市城阳区流亭街道双元路西侧（空港工业聚集区）,300208,恒顺电气,2011-04-26,280000000,178715750,,,,0,0,华东,山东,青岛市,C 制造业,www.qdhengshun.com
300209,天泽信息,天泽信息产业股份有限公司,TIANZE INFORMATION INDUSTRY INC,江苏省南京市建邺区云龙山路80号,300209,天泽信息,2011-04-26,160000000,40000000,,,,0,0,华东,江苏,南京市,I 信息技术,www.itrackstar.com
